match_number,match_id,date,event_name,ground_name,ground_city,team_1,team_2,toss_winner,toss_decision,team_1_total_runs,team_2_total_runs,winner,margin_runs,margin_wickets,winning_method,player_of_the_match
179,525817,2011-09-25,West Indies in England T20I Series,Kennington Oval,London,England,West Indies,England,field,88,113,West Indies,25.0,,,GE Mathurin
180,531982,2011-10-11,,Shere Bangla National Stadium,Mirpur,Bangladesh,West Indies,Bangladesh,field,135,132,Bangladesh,,3.0,,Mushfiqur Rahim
181,514023,2011-10-13,Australia in South Africa T20I Series,Newlands,Cape Town,South Africa,Australia,South Africa,bat,146,147,Australia,,5.0,,SR Watson
182,527012,2011-10-15,New Zealand in Zimbabwe T20I Series,Harare Sports Club,,Zimbabwe,New Zealand,New Zealand,field,123,127,New Zealand,,10.0,,BB McCullum
183,514024,2011-10-16,Australia in South Africa T20I Series,New Wanderers Stadium,Johannesburg,South Africa,Australia,Australia,bat,148,147,South Africa,,3.0,,J Theron
184,527013,2011-10-17,New Zealand in Zimbabwe T20I Series,Harare Sports Club,,Zimbabwe,New Zealand,Zimbabwe,field,154,187,New Zealand,34.0,,D/L,MJ Guptill
185,521217,2011-10-29,,Eden Gardens,Kolkata,India,England,India,bat,120,121,England,,6.0,,KP Pietersen
186,530432,2011-11-25,,Sheikh Zayed Stadium,Abu Dhabi,Pakistan,Sri Lanka,Sri Lanka,bat,142,141,Pakistan,,5.0,,Aizaz Cheema
187,538068,2011-11-29,,Shere Bangla National Stadium,Mirpur,Bangladesh,Pakistan,Pakistan,bat,85,135,Pakistan,50.0,,,Mohammad Hafeez
188,518954,2012-02-01,India in Australia T20I Series,Stadium Australia,Sydney,Australia,India,India,field,171,140,Australia,31.0,,,MS Wade
189,518955,2012-02-03,India in Australia T20I Series,Melbourne Cricket Ground,,Australia,India,Australia,bat,131,135,India,,8.0,,RA Jadeja
190,520595,2012-02-11,Zimbabwe in New Zealand T20I Series,Eden Park,Auckland,New Zealand,Zimbabwe,Zimbabwe,bat,160,159,New Zealand,,7.0,,MJ Guptill
191,520596,2012-02-14,Zimbabwe in New Zealand T20I Series,Seddon Park,Hamilton,New Zealand,Zimbabwe,Zimbabwe,bat,202,200,New Zealand,,5.0,,JEC Franklin
192,520597,2012-02-17,South Africa in New Zealand T20I Series,Westpac Stadium,Wellington,New Zealand,South Africa,New Zealand,field,148,147,New Zealand,,6.0,,MJ Guptill
193,520598,2012-02-19,South Africa in New Zealand T20I Series,Seddon Park,Hamilton,New Zealand,South Africa,South Africa,field,173,174,South Africa,,8.0,,RE Levi
194,520599,2012-02-22,South Africa in New Zealand T20I Series,Eden Park,Auckland,New Zealand,South Africa,New Zealand,field,162,165,South Africa,3.0,,,J Botha
195,543883,2012-02-22,Ireland in Kenya T20I Series,Mombasa Sports Club Ground,,Kenya,Ireland,Ireland,field,107,109,Ireland,,6.0,,GH Dockrell
196,531635,2012-02-23,Pakistan v England T20I Series,Dubai International Cricket Stadium,,England,Pakistan,England,field,136,144,Pakistan,8.0,,,Umar Gul
197,543884,2012-02-23,Ireland in Kenya T20I Series,Mombasa Sports Club Ground,,Kenya,Ireland,Kenya,bat,131,132,Ireland,,8.0,,PR Stirling
198,543885,2012-02-24,Ireland in Kenya T20I Series,Mombasa Sports Club Ground,,Kenya,Ireland,Ireland,bat,105,107,Ireland,2.0,,,SO Ngoche
199,531636,2012-02-25,Pakistan v England T20I Series,Dubai International Cricket Stadium,,England,Pakistan,England,bat,150,112,England,38.0,,,JM Bairstow
200,531637,2012-02-27,Pakistan v England T20I Series,Sheikh Zayed Stadium,Abu Dhabi,England,Pakistan,England,bat,129,124,England,5.0,,,KP Pietersen
201,546410,2012-03-13,ICC World Twenty20 Qualifier,Dubai International Cricket Stadium,,Canada,Netherlands,Netherlands,bat,93,135,Netherlands,42.0,,,Mudassar Bukhari
202,546414,2012-03-14,ICC World Twenty20 Qualifier,Dubai International Cricket Stadium,,Ireland,Kenya,Kenya,bat,72,71,Ireland,,10.0,,WB Rankin
203,546442,2012-03-18,ICC World Twenty20 Qualifier,Dubai International Cricket Stadium,,Ireland,Scotland,Ireland,bat,159,142,Ireland,17.0,,,EC Joyce
204,546462,2012-03-22,ICC World Twenty20 Qualifier,Dubai International Cricket Stadium,,Canada,Ireland,Canada,bat,106,109,Ireland,,10.0,,PR Stirling
205,546470,2012-03-23,ICC World Twenty20 Qualifier,Dubai International Cricket Stadium,,Ireland,Netherlands,Ireland,field,115,114,Ireland,,7.0,,KJ O'Brien
206,546473,2012-03-23,ICC World Twenty20 Qualifier,Dubai International Cricket Stadium,,Canada,Scotland,Canada,bat,135,136,Scotland,,4.0,,RD Berrington
207,540173,2012-03-27,Australia in West Indies T20I Series,"Beausejour Stadium, Gros Islet",St Lucia,West Indies,Australia,West Indies,bat,150,153,Australia,,8.0,,SR Watson
208,540174,2012-03-30,Australia in West Indies T20I Series,"Kensington Oval, Bridgetown",Barbados,West Indies,Australia,West Indies,bat,160,146,West Indies,14.0,,,DR Smith
209,556252,2012-03-30,,New Wanderers Stadium,Johannesburg,South Africa,India,India,field,219,71,South Africa,11.0,,D/L,CA Ingram
210,562437,2012-06-01,Pakistan in Sri Lanka T20I Series,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Hambantota,Sri Lanka,Pakistan,Sri Lanka,bat,132,95,Sri Lanka,37.0,,,NLTC Perera
211,562438,2012-06-03,Pakistan in Sri Lanka T20I Series,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Hambantota,Sri Lanka,Pakistan,Pakistan,bat,99,122,Pakistan,23.0,,,Shahid Afridi
212,534208,2012-06-24,,Trent Bridge,Nottingham,England,West Indies,West Indies,bat,173,172,England,,7.0,,AD Hales
213,560921,2012-06-30,New Zealand v West Indies T20I Series,Central Broward Regional Park Stadium Turf Ground,Lauderhill,New Zealand,West Indies,New Zealand,field,153,209,West Indies,56.0,,,CH Gayle
214,560922,2012-07-01,New Zealand v West Indies T20I Series,Central Broward Regional Park Stadium Turf Ground,Lauderhill,New Zealand,West Indies,West Indies,bat,116,177,West Indies,61.0,,,SP Narine
215,567071,2012-07-18,Bangladesh in Ireland T20I Series,"Civil Service Cricket Club, Stormont",Belfast,Ireland,Bangladesh,Ireland,field,119,190,Bangladesh,71.0,,,Elias Sunny
216,567205,2012-07-25,Bangladesh in Netherlands T20I Series,Sportpark Westvliet,The Hague,Netherlands,Bangladesh,Netherlands,bat,144,145,Bangladesh,,8.0,,
217,573672,2012-07-26,Bangladesh in Netherlands T20I Series,Sportpark Westvliet,The Hague,Netherlands,Bangladesh,Bangladesh,bat,131,128,Netherlands,,1.0,,
218,564786,2012-08-07,,Pallekele International Cricket Stadium,,Sri Lanka,India,Sri Lanka,field,116,155,India,39.0,,,IK Pathan
219,571148,2012-09-05,Pakistan v Australia T20I Series,Dubai International Cricket Stadium,,Australia,Pakistan,Pakistan,field,89,90,Pakistan,,7.0,,Mohammad Hafeez
220,571149,2012-09-07,Pakistan v Australia T20I Series,Dubai International Cricket Stadium,,Australia,Pakistan,Pakistan,bat,162,163,tie,,,,Saeed Ajmal
221,534233,2012-09-08,South Africa in England T20I Series,Riverside Ground,Chester-le-Street,England,South Africa,South Africa,field,118,119,South Africa,,7.0,,DW Steyn
222,534234,2012-09-10,South Africa in England T20I Series,Old Trafford,Manchester,England,South Africa,England,field,29,77,no result,,,,
223,571150,2012-09-10,Pakistan v Australia T20I Series,Dubai International Cricket Stadium,,Australia,Pakistan,Pakistan,field,168,74,Australia,94.0,,,DA Warner
224,565820,2012-09-11,New Zealand in India T20I Series,"MA Chidambaram Stadium, Chepauk",Chennai,India,New Zealand,India,field,166,167,New Zealand,1.0,,,BB McCullum
225,534235,2012-09-12,South Africa in England T20I Series,Edgbaston,Birmingham,England,South Africa,South Africa,field,118,90,England,28.0,,,JC Buttler
226,533272,2012-09-18,ICC World Twenty20,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Hambantota,Sri Lanka,Zimbabwe,Zimbabwe,field,182,100,Sri Lanka,82.0,,,BAW Mendis
227,533273,2012-09-19,ICC World Twenty20,R Premadasa Stadium,Colombo,Australia,Ireland,Ireland,bat,125,123,Australia,,7.0,,SR Watson
228,533275,2012-09-20,ICC World Twenty20,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Hambantota,South Africa,Zimbabwe,South Africa,field,94,93,South Africa,,10.0,,JH Kallis
229,533276,2012-09-21,ICC World Twenty20,Pallekele International Cricket Stadium,,Bangladesh,New Zealand,Bangladesh,field,132,191,New Zealand,59.0,,,BB McCullum
230,533278,2012-09-22,ICC World Twenty20,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Hambantota,Sri Lanka,South Africa,Sri Lanka,field,46,78,South Africa,32.0,,,AB de Villiers
231,533279,2012-09-22,ICC World Twenty20,R Premadasa Stadium,Colombo,Australia,West Indies,West Indies,bat,100,191,Australia,17.0,,D/L,SR Watson
232,533280,2012-09-23,ICC World Twenty20,Pallekele International Cricket Stadium,,New Zealand,Pakistan,Pakistan,bat,164,177,Pakistan,13.0,,,Nasir Jamshed
233,533281,2012-09-23,ICC World Twenty20,R Premadasa Stadium,Colombo,England,India,England,field,80,170,India,90.0,,,Harbhajan Singh
234,533282,2012-09-24,ICC World Twenty20,R Premadasa Stadium,Colombo,Ireland,West Indies,West Indies,field,129,0,no result,,,,
235,533283,2012-09-25,ICC World Twenty20,Pallekele International Cricket Stadium,,Bangladesh,Pakistan,Bangladesh,bat,175,178,Pakistan,,8.0,,Imran Nazir
236,533284,2012-09-27,ICC World Twenty20,Pallekele International Cricket Stadium,,Sri Lanka,New Zealand,New Zealand,bat,187,181,tie,,,,TM Dilshan
237,533285,2012-09-27,ICC World Twenty20,Pallekele International Cricket Stadium,,England,West Indies,West Indies,bat,164,179,West Indies,15.0,,,J Charles
238,533286,2012-09-28,ICC World Twenty20,R Premadasa Stadium,Colombo,Pakistan,South Africa,South Africa,bat,136,133,Pakistan,,2.0,,Umar Gul
239,533287,2012-09-28,ICC World Twenty20,R Premadasa Stadium,Colombo,Australia,India,India,bat,141,140,Australia,,9.0,,SR Watson
240,533288,2012-09-29,ICC World Twenty20,Pallekele International Cricket Stadium,,England,New Zealand,New Zealand,bat,149,148,England,,6.0,,LJ Wright
241,533289,2012-09-29,ICC World Twenty20,Pallekele International Cricket Stadium,,Sri Lanka,West Indies,West Indies,bat,130,129,Sri Lanka,,9.0,,DPMD Jayawardene
242,533290,2012-09-30,ICC World Twenty20,R Premadasa Stadium,Colombo,Australia,South Africa,Australia,field,147,146,Australia,,8.0,,SR Watson
243,533291,2012-09-30,ICC World Twenty20,R Premadasa Stadium,Colombo,India,Pakistan,Pakistan,bat,129,128,India,,8.0,,V Kohli
244,533292,2012-10-01,ICC World Twenty20,Pallekele International Cricket Stadium,,New Zealand,West Indies,New Zealand,field,156,158,tie,,,,SP Narine
245,533293,2012-10-01,ICC World Twenty20,Pallekele International Cricket Stadium,,Sri Lanka,England,England,field,169,150,Sri Lanka,19.0,,,SL Malinga
246,533294,2012-10-02,ICC World Twenty20,R Premadasa Stadium,Colombo,Australia,Pakistan,Australia,field,117,149,Pakistan,32.0,,,Raza Hasan
247,533295,2012-10-02,ICC World Twenty20,R Premadasa Stadium,Colombo,India,South Africa,South Africa,field,152,151,India,1.0,,,Yuvraj Singh
248,533296,2012-10-04,ICC World Twenty20,R Premadasa Stadium,Colombo,Sri Lanka,Pakistan,Sri Lanka,bat,139,123,Sri Lanka,16.0,,,DPMD Jayawardene
249,533297,2012-10-05,ICC World Twenty20,R Premadasa Stadium,Colombo,Australia,West Indies,West Indies,bat,131,205,West Indies,74.0,,,CH Gayle
250,533298,2012-10-07,ICC World Twenty20,R Premadasa Stadium,Colombo,Sri Lanka,West Indies,West Indies,bat,101,137,West Indies,36.0,,,MN Samuels
251,582186,2012-10-30,,Pallekele International Cricket Stadium,,Sri Lanka,New Zealand,Sri Lanka,field,6,74,no result,,,,
252,587476,2012-12-10,,Shere Bangla National Stadium,Mirpur,Bangladesh,West Indies,West Indies,bat,179,197,West Indies,18.0,,,MN Samuels
253,565810,2012-12-20,England in India T20I Series,Subrata Roy Sahara Stadium,Pune,India,England,India,field,158,157,India,,5.0,,Yuvraj Singh
254,567353,2012-12-21,New Zealand in South Africa T20I Series,Kingsmead,Durban,South Africa,New Zealand,New Zealand,bat,87,86,South Africa,,8.0,,RK Kleinveldt
255,565811,2012-12-22,England in India T20I Series,Wankhede Stadium,Mumbai,India,England,England,field,177,181,England,,6.0,,EJG Morgan
256,567354,2012-12-23,New Zealand in South Africa T20I Series,Buffalo Park,East London,South Africa,New Zealand,New Zealand,field,165,169,New Zealand,,8.0,D/L,MJ Guptill
257,589306,2012-12-25,Pakistan in India T20I Series,M Chinnaswamy Stadium,Bangalore,India,Pakistan,Pakistan,field,133,134,Pakistan,,5.0,,Mohammad Hafeez
258,567355,2012-12-26,New Zealand in South Africa T20I Series,St George's Park,Port Elizabeth,South Africa,New Zealand,South Africa,bat,179,146,South Africa,33.0,,,H Davids
259,589307,2012-12-28,Pakistan in India T20I Series,"Sardar Patel Stadium, Motera",Ahmedabad,India,Pakistan,Pakistan,field,192,181,India,11.0,,,Yuvraj Singh
260,573019,2013-01-26,Sri Lanka in Australia T20I Series,Stadium Australia,Sydney,Australia,Sri Lanka,Australia,bat,137,139,Sri Lanka,,5.0,,DA Warner
261,573020,2013-01-28,Sri Lanka in Australia T20I Series,Melbourne Cricket Ground,,Australia,Sri Lanka,Australia,field,119,161,Sri Lanka,2.0,,D/L,NLTC Perera
262,569237,2013-02-09,England in New Zealand T20I Series,Eden Park,Auckland,New Zealand,England,New Zealand,field,174,214,England,40.0,,,SCJ Broad
263,569238,2013-02-12,England in New Zealand T20I Series,Seddon Park,Hamilton,New Zealand,England,England,field,192,137,New Zealand,55.0,,,BB McCullum
264,573027,2013-02-13,,"Brisbane Cricket Ground, Woolloongabba",Brisbane,Australia,West Indies,West Indies,bat,164,191,West Indies,27.0,,,KA Pollard
265,569239,2013-02-15,England in New Zealand T20I Series,Westpac Stadium,Wellington,New Zealand,England,England,field,139,143,England,,10.0,,AD Hales
266,593986,2013-03-02,Zimbabwe in West Indies T20I Series,"Sir Vivian Richards Stadium, North Sound",Antigua,West Indies,Zimbabwe,Zimbabwe,bat,131,130,West Indies,,8.0,,LMP Simmons
267,567367,2013-03-03,Pakistan in South Africa T20I Series,SuperSport Park,Centurion,South Africa,Pakistan,Pakistan,bat,100,195,Pakistan,95.0,,,Mohammad Hafeez
268,593987,2013-03-03,Zimbabwe in West Indies T20I Series,"Sir Vivian Richards Stadium, North Sound",Antigua,West Indies,Zimbabwe,West Indies,bat,158,117,West Indies,41.0,,,S Badree
269,592268,2013-03-15,Canada v Kenya T20I Series,ICC Global Cricket Academy,Dubai,Canada,Kenya,Kenya,bat,128,126,Canada,,5.0,,Junaid Siddiqui
270,592269,2013-03-16,Canada v Kenya T20I Series,ICC Global Cricket Academy,Dubai,Canada,Kenya,Kenya,bat,118,139,Kenya,21.0,,,CO Obuya
271,602477,2013-03-31,,Pallekele International Cricket Stadium,,Sri Lanka,Bangladesh,Bangladesh,field,198,181,Sri Lanka,17.0,,,MDKJ Perera
272,630951,2013-04-19,,Wanderers Cricket Ground,Windhoek,Kenya,Netherlands,Netherlands,bat,176,172,Kenya,,5.0,,
273,592276,2013-04-20,Twenty20 Quadrangular (in Namibia),Wanderers Cricket Ground,Windhoek,Kenya,Netherlands,Kenya,field,114,113,Kenya,,7.0,,
274,623571,2013-05-11,Bangladesh in Zimbabwe T20I Series,Queens Sports Club,Bulawayo,Zimbabwe,Bangladesh,Zimbabwe,bat,168,162,Zimbabwe,6.0,,,H Masakadza
275,623572,2013-05-12,Bangladesh in Zimbabwe T20I Series,Queens Sports Club,Bulawayo,Zimbabwe,Bangladesh,Bangladesh,bat,134,168,Bangladesh,34.0,,,Shakib Al Hasan
276,566926,2013-06-25,New Zealand in England T20I Series,Kennington Oval,London,England,New Zealand,England,field,196,201,New Zealand,5.0,,,HD Rutherford
277,566927,2013-06-27,New Zealand in England T20I Series,Kennington Oval,London,England,New Zealand,New Zealand,field,2,0,no result,,,,
278,645645,2013-07-27,Pakistan in West Indies T20I Series,"Arnos Vale Ground, Kingstown",St Vincent,West Indies,Pakistan,West Indies,bat,152,158,Pakistan,,2.0,,Shahid Afridi
279,645647,2013-07-28,Pakistan in West Indies T20I Series,"Arnos Vale Ground, Kingstown",St Vincent,West Indies,Pakistan,Pakistan,bat,124,135,Pakistan,11.0,,,Umar Akmal
280,635658,2013-08-02,South Africa in Sri Lanka T20I Series,R Premadasa Stadium,Colombo,Sri Lanka,South Africa,South Africa,bat,103,115,South Africa,12.0,,,JP Duminy
281,635659,2013-08-04,South Africa in Sri Lanka T20I Series,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Hambantota,Sri Lanka,South Africa,South Africa,bat,123,145,South Africa,22.0,,,DA Miller
282,635660,2013-08-06,South Africa in Sri Lanka T20I Series,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Hambantota,Sri Lanka,South Africa,South Africa,bat,164,163,Sri Lanka,,6.0,,TM Dilshan
283,659545,2013-08-23,Pakistan in Zimbabwe T20I Series,Harare Sports Club,,Zimbabwe,Pakistan,Zimbabwe,field,136,161,Pakistan,25.0,,,Ahmed Shehzad
284,659547,2013-08-24,Pakistan in Zimbabwe T20I Series,Harare Sports Club,,Zimbabwe,Pakistan,Zimbabwe,field,160,179,Pakistan,19.0,,,Ahmed Shehzad
285,566937,2013-08-29,Australia in England T20I Series,The Rose Bowl,Southampton,England,Australia,England,field,209,248,Australia,39.0,,,AJ Finch
286,566938,2013-08-31,Australia in England T20I Series,Riverside Ground,Chester-le-Street,England,Australia,Australia,field,195,168,England,27.0,,,AD Hales
287,647247,2013-10-10,,Saurashtra Cricket Association Stadium,Rajkot,India,Australia,India,field,202,201,India,,6.0,,Yuvraj Singh
288,668959,2013-11-06,,Shere Bangla National Stadium,Mirpur,Bangladesh,New Zealand,New Zealand,bat,189,204,New Zealand,15.0,,,C Munro
289,649101,2013-11-13,Pakistan v South Africa T20I Series,Dubai International Cricket Stadium,,Pakistan,South Africa,Pakistan,bat,98,99,South Africa,,9.0,,DW Steyn
290,649103,2013-11-15,Pakistan v South Africa T20I Series,Dubai International Cricket Stadium,,Pakistan,South Africa,South Africa,bat,144,150,South Africa,6.0,,,F du Plessis
291,660113,2013-11-16,ICC World Twenty20 Qualifier,Sheikh Zayed Stadium,Abu Dhabi,Canada,Ireland,Canada,field,166,168,Ireland,2.0,,,A Bagai
292,660149,2013-11-19,ICC World Twenty20 Qualifier,ICC Academy,Dubai,Kenya,Scotland,Kenya,bat,183,91,Kenya,92.0,,,RG Aga
293,685727,2013-11-20,Pakistan in South Africa T20I Series,New Wanderers Stadium,Johannesburg,South Africa,Pakistan,Pakistan,field,153,60,South Africa,4.0,,D/L,Q de Kock
294,668969,2013-11-21,New Zealand in Sri Lanka T20I Series,Pallekele International Cricket Stadium,,Sri Lanka,New Zealand,Sri Lanka,field,143,142,Sri Lanka,,8.0,,MDKJ Perera
295,660173,2013-11-22,ICC World Twenty20 Qualifier,ICC Academy,Dubai,Netherlands,Scotland,Netherlands,field,150,165,Scotland,15.0,,,RML Taylor
296,685729,2013-11-22,Pakistan in South Africa T20I Series,Newlands,Cape Town,South Africa,Pakistan,Pakistan,bat,170,176,Pakistan,6.0,,,Mohammad Hafeez
297,660185,2013-11-23,ICC World Twenty20 Qualifier,ICC Academy,Dubai,Kenya,Netherlands,Netherlands,bat,101,130,Netherlands,29.0,,,Mudassar Bukhari
298,660209,2013-11-26,ICC World Twenty20 Qualifier,Sharjah Cricket Stadium,,Canada,Kenya,Kenya,bat,125,146,Kenya,21.0,,,SO Tikolo
299,660223,2013-11-28,ICC World Twenty20 Qualifier,Sheikh Zayed Stadium,Abu Dhabi,Netherlands,Scotland,Scotland,bat,149,147,Netherlands,,8.0,,W Barresi
300,657633,2013-12-11,Pakistan v Sri Lanka T20I Series,Dubai International Cricket Stadium,,Pakistan,Sri Lanka,Pakistan,field,146,145,Pakistan,,3.0,,Shahid Afridi
301,657635,2013-12-13,Pakistan v Sri Lanka T20I Series,Dubai International Cricket Stadium,,Pakistan,Sri Lanka,Pakistan,field,187,211,Sri Lanka,24.0,,,MDKJ Perera
302,661695,2014-01-11,West Indies in New Zealand T20I Series,Eden Park,Auckland,New Zealand,West Indies,New Zealand,bat,189,108,New Zealand,81.0,,,L Ronchi
303,661697,2014-01-15,West Indies in New Zealand T20I Series,Westpac Stadium,Wellington,New Zealand,West Indies,West Indies,bat,163,159,New Zealand,,4.0,,L Ronchi
304,636164,2014-01-29,England in Australia T20I Series,Bellerive Oval,Hobart,Australia,England,Australia,bat,213,200,Australia,13.0,,,CL White
305,636165,2014-01-31,England in Australia T20I Series,Melbourne Cricket Ground,,Australia,England,England,bat,131,130,Australia,,8.0,,JR Hazlewood
306,636166,2014-02-02,England in Australia T20I Series,Stadium Australia,Sydney,Australia,England,Australia,bat,195,111,Australia,84.0,,,GJ Bailey
